epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_rmse, e/N_rmse
    5,    13,         0.052579,         0.052389,       0.00018917,           1.6385,           2.3283,            3.081,          0.14004
    5,    14,         0.031826,         0.031625,       0.00020125,           1.3166,            1.809,           3.1801,          0.14455
    5,    15,          0.05243,         0.052193,       0.00023755,           1.6805,           2.3239,           3.4544,          0.15702
    5,    16,         0.038553,         0.038281,       0.00027187,           1.4635,           1.9902,           3.6914,          0.16779
    5,    17,         0.056998,         0.056869,       0.00012873,           1.6692,           2.4258,           2.5426,          0.11557
    5,    18,         0.058826,         0.058362,       0.00046311,           1.7046,           2.4574,           4.8201,           0.2191
    5,    19,          0.04318,         0.042862,       0.00031757,           1.4358,            2.106,           3.9891,          0.18132
    5,    20,         0.063214,         0.062506,       0.00070852,           1.7415,           2.5432,           5.9545,          0.27066
    5,    21,         0.054456,         0.054025,       0.00043143,           1.6696,           2.3643,           4.6499,          0.21136
    5,    22,         0.050264,         0.050134,       0.00013038,           1.6262,           2.2776,           2.5541,           0.1161
    5,    23,         0.038622,         0.038495,       0.00012679,           1.4513,           1.9958,           2.5218,          0.11463
    5,    24,         0.072264,         0.072201,       6.2906e-05,           1.8176,           2.7333,           1.7785,         0.080841
    5,    25,         0.040699,         0.040526,       0.00017279,           1.3863,           2.0478,           2.9466,          0.13394
    5,    26,         0.046069,         0.045967,       0.00010166,           1.5305,           2.1809,             2.26,          0.10273
    5,    27,         0.054865,         0.054842,       2.2819e-05,           1.7156,           2.3821,           1.0656,         0.048437
    5,    28,         0.042691,         0.042471,       0.00021977,           1.5323,           2.0963,           3.3205,          0.15093
    5,    29,         0.051305,         0.050994,       0.00031107,           1.5854,            2.297,           3.9445,           0.1793
    5,    30,         0.035228,         0.035199,       2.8472e-05,           1.3918,           1.9084,           1.1883,         0.054015
    5,    31,         0.036177,         0.036082,       9.5128e-05,           1.4143,           1.9322,           2.1842,         0.099284
    5,    32,         0.056968,         0.056866,       0.00010148,           1.7006,           2.4257,           2.2546,          0.10248
    5,    33,         0.062405,         0.062112,       0.00029336,           1.6719,           2.5351,           3.8332,          0.17424
    5,    34,         0.046907,         0.046781,       0.00012583,           1.5622,           2.2001,           2.5135,          0.11425
    5,    35,         0.050502,         0.050338,       0.00016386,           1.6669,           2.2822,           2.8571,          0.12987
    5,    36,          0.06949,         0.069237,       0.00025297,           1.7599,           2.6766,            3.566,          0.16209
    5,    37,           0.0331,         0.032968,       0.00013262,           1.3301,            1.847,           2.5746,          0.11703
    5,    38,         0.047951,         0.047767,        0.0001844,           1.5889,           2.2232,            3.036,            0.138
